Designator,Mid X,Mid Y,Rotation,Layer
C1,44.704,31.75,0,top
C10,56.8198,18.415,0,top
C11,66.294,30.9168,90,top
C2,41.75,20.6502,270,top
C3,45.8978,19.558,0,top
C4,57.785,26.9952,270,top
C5,76.835,15.367,0,top
C6,61.635,13.97,180,top
C7,78.105,23.622,270,top
C8,43.18,2.8498,90,top
C9,52.07,18.415,180,top
D1,61.021,30.88462,0,top
D2,77.724,7.52602,180,top
D3,56.83,30.88462,0,top
D4,42.23,25.8412,0,top
R1,48.6868,31.75,90,top
R10,53.34,26.9748,180,top
R11,63.881,30.9118,180,top
R2,46.863,29.083,90,top
R3,43.1342,29.083,270,top
R4,67.945,11.8922,0,top
R5,42.545,15.494,90,top
R6,72.517,30.3072,0,top
R7,69.977,30.3072,0,top
R8,45.56,25.146,180,top
R9,53.34,30.8102,0,top
SW1,72.263,8.382,270,top
SW2,42.5196,9.398,270,top
U1,62.865,26.67,90,top
U2,50.8,26.736,90,top
U4,70.485,21.717,0,top
Y1,56.261,22.225,0,top
